Location,Sea level [mm],Date
Helsinki Kaivopuisto,-193.95833333333334,1975-04-23
Helsinki Kaivopuisto,-177.83333333333334,1975-04-24
Helsinki Kaivopuisto,-134.16666666666666,1975-04-25
Helsinki Kaivopuisto,-19.25,1975-04-26
Helsinki Kaivopuisto,-48.5,1975-04-27
Helsinki Kaivopuisto,-93.91666666666667,1975-04-28
Helsinki Kaivopuisto,-104.0,1975-04-29
Helsinki Kaivopuisto,-205.625,1975-04-30
Helsinki Kaivopuisto,-118.375,1975-05-01
Helsinki Kaivopuisto,-111.25,1975-05-02
Helsinki Kaivopuisto,-132.25,1975-05-03
Helsinki Kaivopuisto,-131.70833333333334,1975-05-04
Helsinki Kaivopuisto,-150.66666666666666,1975-05-05
Helsinki Kaivopuisto,-192.95833333333334,1975-05-06
Helsinki Kaivopuisto,-240.5,1975-05-07
Helsinki Kaivopuisto,-259.4166666666667,1975-05-08
Helsinki Kaivopuisto,-279.1666666666667,1975-05-09
Helsinki Kaivopuisto,-287.5,1975-05-10
Helsinki Kaivopuisto,-276.5,1975-05-11
Helsinki Kaivopuisto,-270.8333333333333,1975-05-12
Helsinki Kaivopuisto,-146.375,1975-05-13
Helsinki Kaivopuisto,-255.66666666666666,1975-05-14
Helsinki Kaivopuisto,-249.04166666666666,1975-05-15
Helsinki Kaivopuisto,-217.83333333333334,1975-05-16
Helsinki Kaivopuisto,-171.29166666666666,1975-05-17
Helsinki Kaivopuisto,-172.41666666666666,1975-05-18
Helsinki Kaivopuisto,-189.66666666666666,1975-05-19
Helsinki Kaivopuisto,-185.58333333333334,1975-05-20
Helsinki Kaivopuisto,-19.333333333333332,1975-05-21
Helsinki Kaivopuisto,102.08333333333333,1975-05-22
Helsinki Kaivopuisto,79.83333333333333,1975-05-23
Helsinki Kaivopuisto,25.458333333333332,1975-05-24
Helsinki Kaivopuisto,34.208333333333336,1975-05-25
Helsinki Kaivopuisto,-15.333333333333334,1975-05-26
Helsinki Kaivopuisto,-55.208333333333336,1975-05-27
Helsinki Kaivopuisto,12.916666666666666,1975-05-28
Helsinki Kaivopuisto,-15.375,1975-05-29
Helsinki Kaivopuisto,-30.125,1975-05-30
Helsinki Kaivopuisto,2.25,1975-05-31
Helsinki Kaivopuisto,123.25,1975-06-01
Helsinki Kaivopuisto,20.375,1975-06-02
Helsinki Kaivopuisto,-64.125,1975-06-03
Helsinki Kaivopuisto,-43.166666666666664,1975-06-04
Helsinki Kaivopuisto,10.333333333333334,1975-06-05
Helsinki Kaivopuisto,-10.375,1975-06-06
Helsinki Kaivopuisto,-44.958333333333336,1975-06-07
Helsinki Kaivopuisto,-103.125,1975-06-08
Helsinki Kaivopuisto,-110.5,1975-06-09
Helsinki Kaivopuisto,-118.70833333333333,1975-06-10
Helsinki Kaivopuisto,-97.125,1975-06-11
Helsinki Kaivopuisto,-75.45833333333333,1975-06-12
Helsinki Kaivopuisto,-15.958333333333334,1975-06-13
Helsinki Kaivopuisto,35.0,1975-06-14
Helsinki Kaivopuisto,32.916666666666664,1975-06-15
Helsinki Kaivopuisto,-7.625,1975-06-16
Helsinki Kaivopuisto,13.333333333333334,1975-06-17
Helsinki Kaivopuisto,33.208333333333336,1975-06-18
Helsinki Kaivopuisto,-4.833333333333333,1975-06-19
Helsinki Kaivopuisto,-81.75,1975-06-20
Helsinki Kaivopuisto,-88.75,1975-06-21
Helsinki Kaivopuisto,-76.29166666666667,1975-06-22
Helsinki Kaivopuisto,-104.95833333333333,1975-06-23
Helsinki Kaivopuisto,-87.33333333333333,1975-06-24
Helsinki Kaivopuisto,-23.416666666666668,1975-06-25
Helsinki Kaivopuisto,7.25,1975-06-26
Helsinki Kaivopuisto,126.66666666666667,1975-06-27
Helsinki Kaivopuisto,107.08333333333333,1975-06-28
Helsinki Kaivopuisto,13.833333333333334,1975-06-29
Helsinki Kaivopuisto,-101.0,1975-06-30
Helsinki Kaivopuisto,-101.33333333333333,1975-07-01
Helsinki Kaivopuisto,-76.70833333333333,1975-07-02
Helsinki Kaivopuisto,-79.16666666666667,1975-07-03
Helsinki Kaivopuisto,-71.29166666666667,1975-07-04
Helsinki Kaivopuisto,-78.83333333333333,1975-07-05
Helsinki Kaivopuisto,-56.333333333333336,1975-07-06
Helsinki Kaivopuisto,-69.41666666666667,1975-07-07
Helsinki Kaivopuisto,-101.375,1975-07-08
Helsinki Kaivopuisto,-114.33333333333333,1975-07-09
Helsinki Kaivopuisto,-177.25,1975-07-10
Helsinki Kaivopuisto,-196.33333333333334,1975-07-11
Helsinki Kaivopuisto,-169.5,1975-07-12
Helsinki Kaivopuisto,-78.33333333333333,1975-07-13
Helsinki Kaivopuisto,-92.16666666666667,1975-07-14
Helsinki Kaivopuisto,-113.54166666666667,1975-07-15
Helsinki Kaivopuisto,28.625,1975-07-16
Helsinki Kaivopuisto,-64.25,1975-07-17
Helsinki Kaivopuisto,20.708333333333332,1975-07-18
Helsinki Kaivopuisto,-41.708333333333336,1975-07-19
Helsinki Kaivopuisto,-37.875,1975-07-20
Helsinki Kaivopuisto,-5.166666666666667,1975-07-21
Helsinki Kaivopuisto,3.6666666666666665,1975-07-22
